article	property	value
https://bar.wikipedia.org/wiki/Vorlog:Normdaten	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://schema.org/Article
https://bar.wikipedia.org/wiki/Vorlog:Normdaten	http://schema.org/name	Vorlog:Normdaten
https://bar.wikipedia.org/wiki/Vorlog:Normdaten	http://schema.org/isPartOf	https://bar.wikipedia.org/
https://bcl.wikipedia.org/wiki/Plantilya:Authority_control	http://schema.org/about	http://www.wikidata.org/entity/Q3907614
https://bcl.wikipedia.org/wiki/Plantilya:Authority_control	http://schema.org/inLanguage	bcl
https://bcl.wikipedia.org/wiki/Plantilya:Authority_control	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://schema.org/Article
https://bcl.wikipedia.org/wiki/Plantilya:Authority_control	http://schema.org/name	Plantilya:Authority control
https://bcl.wikipedia.org/wiki/Plantilya:Authority_control	http://schema.org/isPartOf	https://bcl.wikipedia.org/
https://be-tarask.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D1%91%D0%BD:%D0%91%D1%96%D0%B1%D0%BB%D1%96%D1%8F%D1%96%D0%BD%D1%84%D0%B0%D1%80%D0%BC%D0%B0%D1%86%D1%8B%D1%8F	http://schema.org/about	http://www.wikidata.org/entity/Q3907614
https://be-tarask.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D1%91%D0%BD:%D0%91%D1%96%D0%B1%D0%BB%D1%96%D1%8F%D1%96%D0%BD%D1%84%D0%B0%D1%80%D0%BC%D0%B0%D1%86%D1%8B%D1%8F	http://schema.org/inLanguage	be-tarask
https://be-tarask.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D1%91%D0%BD:%D0%91%D1%96%D0%B1%D0%BB%D1%96%D1%8F%D1%96%D0%BD%D1%84%D0%B0%D1%80%D0%BC%D0%B0%D1%86%D1%8B%D1%8F	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://schema.org/Article
https://be-tarask.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D1%91%D0%BD:%D0%91%D1%96%D0%B1%D0%BB%D1%96%D1%8F%D1%96%D0%BD%D1%84%D0%B0%D1%80%D0%BC%D0%B0%D1%86%D1%8B%D1%8F	http://schema.org/name	Шаблён:Бібліяінфармацыя
https://be-tarask.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D1%91%D0%BD:%D0%91%D1%96%D0%B1%D0%BB%D1%96%D1%8F%D1%96%D0%BD%D1%84%D0%B0%D1%80%D0%BC%D0%B0%D1%86%D1%8B%D1%8F	http://schema.org/isPartOf	https://be-tarask.wikipedia.org/
