Root path: ../../graphs/oecdTopics/
Sample Size: 100

type; dataset; language; mean; stdgml; work; fr; 0.0; 0.0
gml; symptom; id; 0.004710884353741496; 0.009574104925367172
gml; symptom; fr; 0.007322734912834057; 0.004273645490417919
gml; symptom; mr; 0.0; 0.0
gml; symptom; tr; 0.0026666666666666666; 0.013063945294843613
gml; symptom; lv; 0.007142857142857142; 0.031134992453861955
gml; symptom; el; 0.0; 0.0
gml; symptom; es; 0.0058481876880181975; 0.005313832646825208
gml; symptom; pl; 0.004799430280202237; 0.0059881484675629
gml; symptom; vi; 0.0; 0.0
gml; symptom; de; 0.0045943671570588315; 0.00588121516390951
gml; symptom; ml; 0.0; 0.0
gml; symptom; sh; 0.16119568865951062; 0.00976381112414349
gml; symptom; nl; 0.006030792570981983; 0.0060486555777208295
gml; symptom; si; 0.02; 0.13999999999999999
gml; symptom; pt; 0.04344828618133135; 0.005384958525998983
gml; symptom; ro; 0.0022222222222222222; 0.015555555555555553
gml; symptom; ja; 0.0; 0.0
gml; symptom; simple; 0.007176470588235295; 0.013752490449874893
gml; symptom; it; 0.011300850222340546; 0.004887814072927492
gml; symptom; ceb; 0.0; 0.0
gml; symptom; he; 0.0; 0.0
gml; symptom; da; 0.0036363636363636364; 0.017814470856604932
gml; symptom; en; 0.01995366955897518; 0.0032905992002534605
gml; symptom; sr; 0.014222934987493194; 0.00929114440277531
gml; symptom; sv; 0.005745840664189067; 0.006898319049495138
gml; symptom; ckb; 0.0; 0.0
gml; symptom; ru; 0.0; 0.0
gml; symptom; hi; 0.0; 0.0
gml; symptom; arz; 0.0; 0.0
gml; symptom; bs; 0.0; 0.0
gml; symptom; te; 0.0; 0.0
gml; symptom; zh; 0.0; 0.0
gml; symptom; mk; 0.0; 0.0
gml; symptom; hu; 0.020771756978653532; 0.02741073450325228
gml; symptom; ko; 0.0; 0.0
gml; symptom; war; 0.0; 0.0
gml; cancer; fr; 0.0; 0.0
gml; cancer; de; 0.0; 0.0
gml; cancer; it; 0.0; 0.0
gml; cancer; en; 0.0; 0.0
gml; Jewish people; fr; 0.0; 0.0
gml; Jewish people; tr; 0.0; 0.0
gml; Jewish people; es; 0.0; 0.0
gml; Jewish people; pl; 0.0; 0.0
gml; Jewish people; de; 0.0; 0.0
gml; Jewish people; nl; 0.0; 0.0
gml; Jewish people; pt; 0.0; 0.0
gml; Jewish people; ja; 0.0; 0.0
gml; Jewish people; it; 0.0; 0.0
gml; Jewish people; he; 0.0; 0.0
gml; Jewish people; en; 0.04; 0.19595917942265423
gml; Jewish people; sv; 0.0; 0.0
gml; Jewish people; ru; 0.0; 0.0
gml; archaeological site; id; 0.0033445376999348343; 0.0017462579268097736
gml; archaeological site; fr; 0.002136029798750137; 0.0006549134981469564
gml; archaeological site; mr; 0.0; 0.0
gml; archaeological site; tr; 0.00838560196999426; 0.0014263508459464809
gml; archaeological site; lv; 0.0013663663663663664; 0.007135197697423419
gml; archaeological site; el; 0.0; 0.0
gml; archaeological site; es; 0.0007220802270951982; 0.0007942459431630906
gml; archaeological site; pl; 0.001487147471329247; 0.0012354757035156886
gml; archaeological site; vi; 0.0026688109885833573; 0.0022444561808452152
gml; archaeological site; de; 0.0005749066368246701; 0.0004128697530823822
