Root path: ../../graphsReduced/
Sample Size: 100

type; dataset; language; mean; std
gml; komponistGML; sv; 0.27843348840315846; 0.027655546376149844
gml; komponistGML; ckb; 0.402037263227178; 0.06421715036188909
gml; komponistGML; ru; 0.16712815420023855; 0.009467812277892822
gml; komponistGML; hi; 0.7214401340318618; 0.10218985878856106
gml; komponistGML; arz; 0.49705492651701033; 0.07489584949368479
gml; komponistGML; bs; 0.46085952085128035; 0.02571077592220577
gml; komponistGML; te; 1.0; 0.0
gml; komponistGML; zh; 0.2885221976010398; 0.014850459358118769
gml; komponistGML; mk; 0.3718914647902843; 0.061809621362285676
gml; komponistGML; hu; 0.34899903611898475; 0.02175504094858633
gml; komponistGML; ko; 0.29319142245825225; 0.017771511051487304
gml; komponistGML; war; 1.0; 0.0
fullgml; chemical element; id; 0.03986643239033441; 9.278680079319655e-05
fullgml; chemical element; fr; 0.019979101824972267; 3.701468947083913e-05
fullgml; chemical element; mr; 1.0; 0.0
fullgml; chemical element; tr; 0.06569452866255256; 0.0002445887541908915
fullgml; chemical element; lv; 0.10459525452173306; 0.0005303241112354829
fullgml; chemical element; el; 1.0; 0.0
fullgml; chemical element; es; 0.029426109838709805; 8.27015987255207e-05
fullgml; chemical element; pl; 0.042774589138132715; 0.000108520584080724
fullgml; chemical element; vi; 0.04788983731810416; 0.0001126600203921138
fullgml; chemical element; de; 0.017015552240933457; 4.5329600031284004e-05
fullgml; chemical element; ml; 1.0; 0.0
fullgml; chemical element; sh; 0.055600797850085655; 0.00034077728329895716
fullgml; chemical element; nl; 0.0412825453644046; 0.00010105046642579206
fullgml; chemical element; si; 1.0; 0.0
fullgml; chemical element; pt; 0.04619119201398182; 0.00041273787974753333
fullgml; chemical element; ro; 0.042402883889960996; 0.000113517291537012
fullgml; chemical element; ja; 1.0; 0.0
fullgml; chemical element; simple; 0.061199458497725526; 0.00025464957583632905
fullgml; chemical element; it; 0.028598409693151142; 6.568102158056753e-05
fullgml; chemical element; ceb; 0.12247878101829934; 0.0007582318042404375
fullgml; chemical element; he; 1.0; 0.0
fullgml; chemical element; da; 0.04277455841940924; 0.0001249233796318548
fullgml; chemical element; en; 0.013094038391633984; 2.2050221748221382e-05
fullgml; chemical element; sr; 1.0; 0.0
fullgml; chemical element; sv; 0.05123820042462476; 0.0001156767606428753
fullgml; chemical element; ckb; 1.0; 0.0
fullgml; chemical element; ru; 1.0; 0.0
fullgml; chemical element; hi; 1.0; 0.0
fullgml; chemical element; arz; 1.0; 0.0
fullgml; chemical element; bs; 0.061616786561532244; 0.00017578940138214725
fullgml; chemical element; te; 1.0; 0.0
fullgml; chemical element; zh; 0.12940427543773253; 0.0019590905011510813
fullgml; chemical element; mk; 1.0; 0.0
fullgml; chemical element; hu; 0.06862366657145909; 0.0003542142329958138
fullgml; chemical element; ko; 1.0; 0.0
fullgml; chemical element; war; 0.10074202182577766; 0.003359651494296603
fullgml; dialect; id; 0.038930176010256445; 0.0003645080880868677
fullgml; dialect; fr; 0.014690192686906745; 0.00010052807794432654
fullgml; dialect; mr; 1.0; 0.0
fullgml; dialect; tr; 0.06629880056404815; 0.001912707262939832
fullgml; dialect; lv; 0.20516911397588775; 0.017837256448515595
fullgml; dialect; el; 1.0; 0.0
fullgml; dialect; es; 0.033457238699037606; 0.0005415997991560798
fullgml; dialect; pl; 0.0478303727977146; 0.0007141153069164059
fullgml; dialect; vi; 0.3268595076876229; 0.016922606345514072
fullgml; dialect; de; 0.020206778072899695; 0.00020361874403944946
fullgml; dialect; ml; 1.0; 0.0
fullgml; dialect; sh; 0.08214177768655892; 0.0030153703070982477
fullgml; dialect; nl; 0.02292918737250772; 0.00019233032902923647
fullgml; dialect; si; 1.0; 0.0
fullgml; dialect; pt; 0.036504586148961536; 0.000467721644836953
fullgml; dialect; ro; 0.11898187048260667; 0.006568357779061615
fullgml; dialect; ja; 0.2168038293873408; 0.011473099174166368
fullgml; dialect; simple; 0.07971344032394373; 0.0032379604774318074
fullgml; dialect; it; 0.019449512272485966; 6.384110500503379e-05
fullgml; dialect; ceb; 0.41695024378562645; 0.06490861895907639
fullgml; dialect; he; 1.0; 0.0
fullgml; dialect; da; 0.08517216374861569; 0.0032214242118648348
